sample_id;project_id;project_name;sample_name;sample_type;sample_date;sample_replicate_of;origin;description;carbonConcentration;samplePreparationVolume;sorbensSize;extractVolume;recovery;carbonConcentrationExtract;samplePreparationDate;samplePreparationMethod;sorbensType
1713;383;2018_Wilske-Photo_PhD;t0_RMU5_0p2um;SMP;2018-07-31T05:30+02:00[Europe/Berlin];1713;freshwater;timepoint = 0, time = 0h, radiation_dose = 0;8.18;25;50;1;63.61515892;136.94;2018-09-13T00:00+02:00[Europe/Berlin];PPL_50mg_25ml_JK_180219;PPL
1719;383;2018_Wilske-Photo_PhD;t1_RMU2_0p2um;SMP;2018-07-31T07:30+02:00[Europe/Berlin];1719;freshwater;timepoint = 1, time = 2h, radiation_dose = 1.8;7.32;25;50;1;72.35054645;139.37;2018-09-13T00:00+02:00[Europe/Berlin];PPL_50mg_25ml_JK_180219;PPL
1725;383;2018_Wilske-Photo_PhD;t2_RMU5_0p2um;SMP;2018-07-31T09:30+02:00[Europe/Berlin];1725;freshwater;timepoint = 2, time = 4h, radiation_dose = 10;7.28;25;50;1;65.36208791;125.22;2018-09-13T00:00+02:00[Europe/Berlin];PPL_50mg_25ml_JK_180219;PPL
1731;383;2018_Wilske-Photo_PhD;t3_RMU2_0p2um;SMP;2018-07-31T13:30+02:00[Europe/Berlin];1731;freshwater;timepoint = 3, time = 8h, radiation_dose = 43.3;7.22;30;50;1;56.53947368;128.91;2018-09-14T00:00+02:00[Europe/Berlin];PPL_50mg_30ml_JK_180219;PPL
1737;383;2018_Wilske-Photo_PhD;t4_RMU5_0p2um;SMP;2018-07-31T21:00+02:00[Europe/Berlin];1737;freshwater;timepoint = 4, time = 16h, radiation_dose = 83.3;6.95;30;50;1;49.07194245;107.7;2018-09-14T00:00+02:00[Europe/Berlin];PPL_50mg_30ml_JK_180219;PPL
1743;383;2018_Wilske-Photo_PhD;t5_RMU2_0p2um;SMP;2018-08-01T05:30+02:00[Europe/Berlin];1743;freshwater;timepoint = 5, time = 24h, radiation_dose = 83.3;6.44;30;50;1;69.1257764;140.58;2018-09-14T00:00+02:00[Europe/Berlin];PPL_50mg_30ml_JK_180219;PPL
1749;383;2018_Wilske-Photo_PhD;t6_RMU5_0p2um;SMP;2018-08-01T07:30+02:00[Europe/Berlin];1749;freshwater;timepoint = 6, time = 26h, radiation_dose = 84.9;6.94;30;50;1;53.53674352;117.33;2018-09-18T00:00+02:00[Europe/Berlin];PPL_50mg_30ml_JK_180219;PPL
1755;383;2018_Wilske-Photo_PhD;t7_RMU2_0p2um;SMP;2018-08-01T09:30+02:00[Europe/Berlin];1755;freshwater;timepoint = 7, time = 28h, radiation_dose = 87.8;7.41;25;50;1;73.66666667;143.65;2018-09-18T00:00+02:00[Europe/Berlin];PPL_50mg_25ml_JK_180219;PPL
1761;383;2018_Wilske-Photo_PhD;t8_RMU5_0p2um;SMP;2018-08-01T13:30+02:00[Europe/Berlin];1761;freshwater;timepoint = 8, time = 32h, radiation_dose = 119.8;6.79;30;50;1;68.67795778;147.26;2018-09-18T00:00+02:00[Europe/Berlin];PPL_50mg_30ml_JK_180219;PPL
1767;383;2018_Wilske-Photo_PhD;t9_RMU2_0p2um;SMP;2018-08-01T21:00+02:00[Europe/Berlin];1767;freshwater;timepoint = 9, time = 40h, radiation_dose = 156.3;6.44;30;50;1;76.05900621;154.68;2018-08-19T00:00+02:00[Europe/Berlin];PPL_50mg_30ml_JK_180219;PPL
1773;383;2018_Wilske-Photo_PhD;t10_RMU5_0p2um;SMP;2018-08-02T13:30+02:00[Europe/Berlin];1773;freshwater;timepoint = 10, time = 56h, radiation_dose = 168.7;6.8;30;50;1;45.50686275;97.72;2018-08-19T00:00+02:00[Europe/Berlin];PPL_50mg_30ml_JK_180219;PPL
1778;383;2018_Wilske-Photo_PhD;t11_RMU2_0p2um;SMP;2018-08-03T17:30+02:00[Europe/Berlin];1778;freshwater;timepoint = 11, time = 84h, radiation_dose = 282.6;6.06;35;50;1;42.31777463;94.48;2018-08-19T00:00+02:00[Europe/Berlin];PPL_50mg_35ml_jk_180911;PPL
1784;383;2018_Wilske-Photo_PhD;t12_RMU5_0p2um;SMP;2018-08-06T06:30+02:00[Europe/Berlin];1784;freshwater;timepoint = 12, time = 145h, radiation_dose = 436.2;5.86;35;50;1;36.5872745;78.99;2018-08-20T00:00+02:00[Europe/Berlin];PPL_50mg_35ml_jk_180911;PPL
