sample_id;sample_name;measurement_id;measurement_name;measurement_file_name;measurement_date;measurement_replicate_of;ionization_source;ionization_polarity;ionization_voltage;scan_number;accumulation_time;data_size;calibration_list;calibration_points;calibration_mass_min;calibration_mass_max;calibration_error;spectrum_intensity_min;spectrum_intensity_max;spectrum_intensity_max_user;spectrum_intensity_sum;spectrum_sn_min;spectrum_peaks;spectrum_resolution_avg
1713;t0_RMU5_0p2um;7803;383_t0_RMU5_0p2um;t0_RMU5_0p2um.xml;2018-11-05T18:31:24+01:00[Europe/Berlin];7803;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;173;247.02483;629.07841;0.154;1882553;454144480;191564160;117727903038;4;17332;494186.416806723
1719;t1_RMU2_0p2um;7809;383_t1_RMU2_0p2um;t1_RMU2_0p2um.xml;2018-11-05T19:58:35+01:00[Europe/Berlin];7809;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;175;247.02483;619.09428;0.148;1879338;474841696;184124560;115450842399;4;17272;490987.830434783
1725;t2_RMU5_0p2um;7815;383_t2_RMU5_0p2um;t2_RMU5_0p2um.xml;2018-11-05T22:09:16+01:00[Europe/Berlin];7815;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;170;247.02483;609.21887;0.155;1890492;555322176;211127632;130874658373;4;17750;500193.030769231
1731;t3_RMU2_0p2um;7821;383_t3_RMU2_0p2um;t3_RMU2_0p2um.xml;2018-11-06T00:34:30+01:00[Europe/Berlin];7821;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;169;247.02484;609.21898;0.149;1896597;645840256;264050784;151000847682;4;18499;476085.896396396
1737;t4_RMU5_0p2um;7827;383_t4_RMU5_0p2um;t4_RMU5_0p2um.xml;2018-11-06T02:01:40+01:00[Europe/Berlin];7827;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;170;247.02483;609.21881;0.121;1891229;371226144;236325776;136086408833;4;17571;483548.315254237
1743;t5_RMU2_0p2um;7833;383_t5_RMU2_0p2um;t5_RMU2_0p2um.xml;2018-11-06T04:12:25+01:00[Europe/Berlin];7833;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;168;247.02483;613.0836;0.126;1890825;408925184;243632080;139789280814;4;17832;502857.510619469
1749;t6_RMU5_0p2um;7839;383_t6_RMU5_0p2um;t6_RMU5_0p2um.xml;2018-11-06T06:37:39+01:00[Europe/Berlin];7839;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;173;247.02483;643.09428;0.158;1895426;491425696;282532512;158499850116;4;18554;504882.567241379
1755;t7_RMU2_0p2um;7845;383_t7_RMU2_0p2um;t7_RMU2_0p2um.xml;2018-11-06T08:04:53+01:00[Europe/Berlin];7845;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;165;247.02483;621.10974;0.118;1887262;741584128;233045056;132490725476;4;17286;490733.341509434
1761;t8_RMU5_0p2um;7851;383_t8_RMU5_0p2um;t8_RMU5_0p2um.xml;2018-11-06T18:28:10+01:00[Europe/Berlin];7851;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;171;247.02483;609.21898;0.117;1902368;652512896;277877440;155964522052;4;18506;498329.443801653
1767;t9_RMU2_0p2um;7857;383_t9_RMU2_0p2um;t9_RMU2_0p2um.xml;2018-11-06T20:09:48+01:00[Europe/Berlin];7857;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;171;247.02483;609.21895;0.102;1899375;599166464;293211744;160355855427;4;18514;501391.950458716
1773;t10_RMU5_0p2um;7863;383_t10_RMU5_0p2um;t10_RMU5_0p2um_WDH.xml;2018-11-07T18:04:27+01:00[Europe/Berlin];7863;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;173;247.02484;619.09423;0.145;1916669;937401024;408170400;207155964327;4;19849;487356.991538462
1778;t11_RMU2_0p2um;7868;383_t11_RMU2_0p2um;t11_RMU2_0p2um.xml;2018-11-07T00:16:52+01:00[Europe/Berlin];7868;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;168;247.02483;621.1096;0.115;1915967;1616221568;422519264;215000944299;4;19447;485137.699224806
1784;t12_RMU5_0p2um;7874;383_t12_RMU5_0p2um;t12_RMU5_0p2um.xml;2018-11-07T01:58:35+01:00[Europe/Berlin];7874;ESI;-1;4500;256;0.02;4MW;ESI SRFA_neg Roland;168;247.02483;619.09408;0.115;1914706;927569152;482547904;221937855059;4;19349;498199.552459017
